UID          PID    PPID     LWP  C NLWP    SZ   RSS PSR STIME TTY          TIME CMD
root           1       0       1  0    1  6451 15724   3 18:26 ?        00:00:04 /sbin/init auto automatic-ubiquity noprompt
root           2       0       2  0    1     0     0   1 18:26 ?        00:00:00 [kthreadd]
root           3       2       3  0    1     0     0   0 18:26 ?        00:00:00 [pool_workqueue_release]
root           4       2       4  0    1     0     0   0 18:26 ?        00:00:00 [kworker/R-rcu_gp]
root           5       2       5  0    1     0     0   0 18:26 ?        00:00:00 [kworker/R-sync_wq]
root           6       2       6  0    1     0     0   0 18:26 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root           7       2       7  0    1     0     0   0 18:26 ?        00:00:00 [kworker/R-slub_flushwq]
root           8       2       8  0    1     0     0   0 18:26 ?        00:00:00 [kworker/R-netns]
root          11       2      11  0    1     0     0   0 18:26 ?        00:00:04 [kworker/0:0H-kblockd]
root          13       2      13  0    1     0     0   0 18:26 ?        00:00:00 [kworker/R-mm_percpu_wq]
root          14       2      14  0    1     0     0   0 18:26 ?        00:00:00 [rcu_tasks_kthread]
root          15       2      15  0    1     0     0   0 18:26 ?        00:00:00 [rcu_tasks_rude_kthread]
root          16       2      16  0    1     0     0   0 18:26 ?        00:00:00 [rcu_tasks_trace_kthread]
root          17       2      17  0    1     0     0   0 18:26 ?        00:00:00 [ksoftirqd/0]
root          18       2      18  0    1     0     0   5 18:26 ?        00:00:19 [rcu_preempt]
root          19       2      19  0    1     0     0   2 18:26 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/1]
root          20       2      20  0    1     0     0   1 18:26 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root          21       2      21  0    1     0     0   0 18:26 ?        00:00:00 [migration/0]
root          22       2      22  0    1     0     0   0 18:26 ?        00:00:00 [idle_inject/0]
root          23       2      23  0    1     0     0   0 18:26 ?        00:00:00 [cpuhp/0]
root          24       2      24  0    1     0     0   1 18:26 ?        00:00:00 [cpuhp/1]
root          25       2      25  0    1     0     0   1 18:26 ?        00:00:00 [idle_inject/1]
root          26       2      26  0    1     0     0   1 18:26 ?        00:00:00 [migration/1]
root          27       2      27  0    1     0     0   1 18:26 ?        00:00:01 [ksoftirqd/1]
root          29       2      29  0    1     0     0   1 18:26 ?        00:00:00 [kworker/1:0H-events_highpri]
root          30       2      30  0    1     0     0   2 18:26 ?        00:00:00 [cpuhp/2]
root          31       2      31  0    1     0     0   2 18:26 ?        00:00:00 [idle_inject/2]
root          32       2      32  0    1     0     0   2 18:26 ?        00:00:00 [migration/2]
root          33       2      33  0    1     0     0   2 18:26 ?        00:00:01 [ksoftirqd/2]
root          35       2      35  0    1     0     0   2 18:26 ?        00:00:00 [kworker/2:0H-events_highpri]
root          36       2      36  0    1     0     0   3 18:26 ?        00:00:00 [cpuhp/3]
root          37       2      37  0    1     0     0   3 18:26 ?        00:00:00 [idle_inject/3]
root          38       2      38  0    1     0     0   3 18:26 ?        00:00:00 [migration/3]
root          39       2      39  0    1     0     0   3 18:26 ?        00:00:00 [ksoftirqd/3]
root          41       2      41  0    1     0     0   3 18:26 ?        00:00:00 [kworker/3:0H-events_highpri]
root          42       2      42  0    1     0     0   4 18:26 ?        00:00:00 [cpuhp/4]
root          43       2      43  0    1     0     0   4 18:26 ?        00:00:00 [idle_inject/4]
root          44       2      44  0    1     0     0   4 18:26 ?        00:00:00 [migration/4]
root          45       2      45  0    1     0     0   4 18:26 ?        00:00:00 [ksoftirqd/4]
root          47       2      47  0    1     0     0   4 18:26 ?        00:00:00 [kworker/4:0H-events_highpri]
root          48       2      48  0    1     0     0   5 18:26 ?        00:00:00 [cpuhp/5]
root          49       2      49  0    1     0     0   5 18:26 ?        00:00:00 [idle_inject/5]
root          50       2      50  0    1     0     0   5 18:26 ?        00:00:00 [migration/5]
root          51       2      51  0    1     0     0   5 18:26 ?        00:00:03 [ksoftirqd/5]
root          54       2      54  0    1     0     0   3 18:26 ?        00:00:00 [kdevtmpfs]
root          55       2      55  0    1     0     0   5 18:26 ?        00:00:00 [kworker/R-inet_frag_wq]
root          56       2      56  0    1     0     0   2 18:26 ?        00:00:00 [kauditd]
root          57       2      57  0    1     0     0   5 18:26 ?        00:00:00 [khungtaskd]
root          59       2      59  0    1     0     0   4 18:26 ?        00:00:00 [oom_reaper]
root          61       2      61  0    1     0     0   4 18:26 ?        00:00:00 [kworker/R-writeback]
root          62       2      62  0    1     0     0   5 18:26 ?        00:00:06 [kcompactd0]
root          63       2      63  0    1     0     0   4 18:26 ?        00:00:00 [ksmd]
root          64       2      64  0    1     0     0   4 18:26 ?        00:00:00 [khugepaged]
root          65       2      65  0    1     0     0   5 18:26 ?        00:00:00 [kworker/R-kintegrityd]
root          66       2      66  0    1     0     0   5 18:26 ?        00:00:00 [kworker/R-kblockd]
root          67       2      67  0    1     0     0   1 18:26 ?        00:00:00 [irq/9-acpi]
root          71       2      71  0    1     0     0   5 18:26 ?        00:00:00 [kworker/R-tpm_dev_wq]
root          72       2      72  0    1     0     0   2 18:26 ?        00:00:00 [kworker/R-ata_sff]
root          73       2      73  0    1     0     0   3 18:26 ?        00:00:00 [kworker/R-md]
root          74       2      74  0    1     0     0   1 18:26 ?        00:00:00 [kworker/R-md_bitmap]
root          75       2      75  0    1     0     0   5 18:26 ?        00:00:00 [kworker/R-edac-poller]
root          76       2      76  0    1     0     0   5 18:26 ?        00:00:00 [kworker/R-devfreq_wq]
root          77       2      77  0    1     0     0   3 18:26 ?        00:00:00 [watchdogd]
root          80       2      80  0    1     0     0   3 18:27 ?        00:00:35 [kswapd0]
root          81       2      81  0    1     0     0   5 18:27 ?        00:00:00 [ecryptfs-kthread]
root          82       2      82  0    1     0     0   2 18:27 ?        00:00:00 [kworker/R-kthrotld]
root          83       2      83  0    1     0     0   2 18:27 ?        00:00:00 [irq/24-pciehp]
root          84       2      84  0    1     0     0   3 18:27 ?        00:00:00 [irq/25-pciehp]
root          85       2      85  0    1     0     0   4 18:27 ?        00:00:00 [irq/26-pciehp]
root          86       2      86  0    1     0     0   5 18:27 ?        00:00:00 [irq/27-pciehp]
root          87       2      87  0    1     0     0   0 18:27 ?        00:00:00 [irq/28-pciehp]
root          88       2      88  0    1     0     0   1 18:27 ?        00:00:00 [irq/29-pciehp]
root          89       2      89  0    1     0     0   2 18:27 ?        00:00:00 [irq/30-pciehp]
root          90       2      90  0    1     0     0   3 18:27 ?        00:00:00 [irq/31-pciehp]
